Owner,Kind,Constant,Value,Description
AcAggregateType,Enumeration,acAggregateNone,0,None
AcAggregateType,Enumeration,acAggregateSum,1,Sum
AcAggregateType,Enumeration,acAggregateAverage,2,Average
AcAggregateType,Enumeration,acAggregateMinimum,3,Minimum
AcAggregateType,Enumeration,acAggregateMaximum,4,Maximum
AcAggregateType,Enumeration,acAggregateCountDistinct,5,
AcAggregateType,Enumeration,acAggregateCount,6,Count
AcAxisRange,Enumeration,acAxisRangeAuto,0,The represented range is determined automatically by the lowest and highest values in the set.
AcAxisRange,Enumeration,acAxisRangeFixed,1,
AcAxisUnits,Enumeration,acAxisUnitsNone,0,None (original values)
AcAxisUnits,Enumeration,acAxisUnitsPercentage,1,Percentage
AcAxisUnits,Enumeration,acAxisUnitsHundreds,2,Hundreds
AcAxisUnits,Enumeration,acAxisUnitsThousands,3,Thousands
AcAxisUnits,Enumeration,acAxisUnitsTenThousands,4,Ten Thousands
AcAxisUnits,Enumeration,acAxisUnitsHundredThousands,5,Hundred Thousands
AcAxisUnits,Enumeration,acAxisUnitsMillions,6,Millions
AcAxisUnits,Enumeration,acAxisUnitsTenMillions,7,Ten Millions
AcAxisUnits,Enumeration,acAxisUnitsHundredMillions,8,Hundred Millions
AcAxisUnits,Enumeration,acAxisUnitsBillions,9,Billions
AcAxisUnits,Enumeration,acAxisUnitsTenBillions,10,Ten Billions
AcAxisUnits,Enumeration,acAxisUnitsHundredBillions,11,Hundred Billions
AcAxisUnits,Enumeration,acAxisUnitsTrillions,12,Trillions
AcBrowseToObjectType,Enumeration,acBrowseToForm,2,Open a form.
AcBrowseToObjectType,Enumeration,acBrowseToReport,3,Open a report.
AcChartType,Enumeration,acChartColumnClustered,0,Clustered Column
AcChartType,Enumeration,acChartColumnStacked,1,Stacked Column
AcChartType,Enumeration,acChartColumnStacked100,2,100% Stacked Column
AcChartType,Enumeration,acChartBarClustered,3,Clustered Bar
AcChartType,Enumeration,acChartBarStacked,4,Stacked Bar
AcChartType,Enumeration,acChartBarStacked100,5,100% Stacked Bar
AcChartType,Enumeration,acChartLine,6,Line
AcChartType,Enumeration,acChartLineStacked,7,Line Stacked
AcChartType,Enumeration,acChartLineStacked100,8,100% Stacked Line
AcChartType,Enumeration,acChartPie,9,Pie
AcChartType,Enumeration,acChartCombo,10,Combo
AcChartType,Enumeration,acChartArea,11,Area (only available in Current Channel)
AcChartType,Enumeration,acChartAreaStacked,12,Stacked Area (only available in Current Channel)
AcChartType,Enumeration,acChartAreaStacked100,13,100% Stacked Area (only available in Current Channel)
AcChartType,Enumeration,acChartRadar,14,Radar (only available in Current Channel)
AcChartType,Enumeration,acChartRadarFilled,15,Radar Filled (only available in Current Channel)
AcChartType,Enumeration,acChartBoxWhisker,16,Box and Whisker (only available in Current Channel)
AcChartType,Enumeration,acChartBubble,17,Bubble (only available in Current Channel)
AcChartType,Enumeration,acChartDoughnut,18,Doughnut (only available in Current Channel)
AcChartType,Enumeration,acChartFunnel,19,Funnel (only available in Current Channel)
AcChartType,Enumeration,acChartScatter,20,Scatter (only available in Current Channel)
AcChartType,Enumeration,acChartWaterfall,21,Waterfall (only available in Current Channel)
AcChartType,Enumeration,acChartWordCloud,22,Word Cloud (only available in Current Channel)
AcChartType,Enumeration,acChartArc,23,Arc (only available in Current Channel)
AcChartType,Enumeration,acChartPareto,24,Pareto (only available in Current Channel)
AcCloseSave,Enumeration,acSavePrompt,0,"The user is asked whether or not they want to save the object. This value is ignored if you are closing a Visual Basic module. The module will be closed, but changes to the module will not be saved."
AcCloseSave,Enumeration,acSaveYes,1,The specified object is saved.
AcCloseSave,Enumeration,acSaveNo,2,The specified object is not saved.
AcColorIndex,Enumeration,acColorIndexBlack,0,Black color.
AcColorIndex,Enumeration,acColorIndexMaroon,1,Maroon color.
AcColorIndex,Enumeration,acColorIndexGreen,2,Green color.
AcColorIndex,Enumeration,acColorIndexOlive,3,Olive color.
AcColorIndex,Enumeration,acColorIndexDarkBlue,4,Dark blue color.
AcColorIndex,Enumeration,acColorIndexViolet,5,Violet color.
AcColorIndex,Enumeration,acColorIndexTeal,6,Teal color.
AcColorIndex,Enumeration,acColorIndexGray,7,Gray color.
AcColorIndex,Enumeration,acColorIndexSilver,8,Silver color.
AcColorIndex,Enumeration,acColorIndexRed,9,Red color.
AcColorIndex,Enumeration,acColorIndexBrightGreen,10,Bright green color.
AcColorIndex,Enumeration,acColorIndexYellow,11,Yellow color.
AcColorIndex,Enumeration,acColorIndexBlue,12,Blue color.
AcColorIndex,Enumeration,acColorIndexFuschia,13,
AcColorIndex,Enumeration,acColorIndexAqua,14,Aqua color.
AcColorIndex,Enumeration,acColorIndexWhite,15,White color.
AcCommand,Enumeration,acCmdWindowUnhide,1,
AcCommand,Enumeration,acCmdWindowHide,2,
AcCommand,Enumeration,acCmdExit,3,
AcCommand,Enumeration,acCmdCompactDatabase,4,
AcCommand,Enumeration,acCmdEncryptDecryptDatabase,5,
AcCommand,Enumeration,acCmdRepairDatabase,6,
AcCommand,Enumeration,acCmdMakeMDEFile,7,
AcCommand,Enumeration,acCmdMoreWindows,8,
AcCommand,Enumeration,acCmdAppRestore,9,
AcCommand,Enumeration,acCmdAppMaximize,10,
AcCommand,Enumeration,acCmdAppMinimize,11,
AcCommand,Enumeration,acCmdAppMove,12,
AcCommand,Enumeration,acCmdAppSize,13,
AcCommand,Enumeration,acCmdDocRestore,14,
AcCommand,Enumeration,acCmdDocMaximize,15,
AcCommand,Enumeration,acCmdDocMove,16,
AcCommand,Enumeration,acCmdDocSize,17,
AcCommand,Enumeration,acCmdRefresh,18,
AcCommand,Enumeration,acCmdFont,19,
AcCommand,Enumeration,acCmdSave,20,
AcCommand,Enumeration,acCmdSaveAs,21,
AcCommand,Enumeration,acCmdWindowCascade,22,
AcCommand,Enumeration,acCmdTileVertically,23,
AcCommand,Enumeration,acCmdWindowArrangeIcons,24,
AcCommand,Enumeration,acCmdOpenDatabase,25,
AcCommand,Enumeration,acCmdNewDatabase,26,
AcCommand,Enumeration,acCmdOLEDDELinks,27,
AcCommand,Enumeration,acCmdRecordsGoToNew,28,
AcCommand,Enumeration,acCmdReplace,29,
AcCommand,Enumeration,acCmdFind,30,
AcCommand,Enumeration,acCmdRunMacro,31,
AcCommand,Enumeration,acCmdPageSetup,32,
AcCommand,Enumeration,acCmdInsertObject,33,
AcCommand,Enumeration,acCmdDuplicate,34,
AcCommand,Enumeration,acCmdAboutMicrosoftAccess,35,
AcCommand,Enumeration,acCmdFormHdrFtr,36,
AcCommand,Enumeration,acCmdReportHdrFtr,37,
AcCommand,Enumeration,acCmdPasteAppend,38,
AcCommand,Enumeration,acCmdInsertFile,39,
AcCommand,Enumeration,acCmdSelectForm,40,
AcCommand,Enumeration,acCmdTabOrder,41,
AcCommand,Enumeration,acCmdFieldList,42,
AcCommand,Enumeration,acCmdAlignLeft,43,
AcCommand,Enumeration,acCmdAlignRight,44,
AcCommand,Enumeration,acCmdAlignTop,45,
AcCommand,Enumeration,acCmdAlignBottom,46,
AcCommand,Enumeration,acCmdAlignToGrid,47,
AcCommand,Enumeration,acCmdSizeToGrid,48,
AcCommand,Enumeration,acCmdOptions,49,
AcCommand,Enumeration,acCmdSelectRecord,50,
AcCommand,Enumeration,acCmdSortingAndGrouping,51,
AcCommand,Enumeration,acCmdBringToFront,52,
AcCommand,Enumeration,acCmdSendToBack,53,
AcCommand,Enumeration,acCmdPrintPreview,54,
AcCommand,Enumeration,acCmdApplyDefault,55,
AcCommand,Enumeration,acCmdSetControlDefaults,56,
AcCommand,Enumeration,acCmdOLEObjectDefaultVerb,57,
AcCommand,Enumeration,acCmdClose,58,
AcCommand,Enumeration,acCmdSizeToFit,59,
AcCommand,Enumeration,acCmdDocMinimize,60,
AcCommand,Enumeration,acCmdViewRuler,61,
AcCommand,Enumeration,acCmdSnapToGrid,62,
AcCommand,Enumeration,acCmdViewGrid,63,
AcCommand,Enumeration,acCmdPasteSpecial,64,
AcCommand,Enumeration,acCmdRecordsGoToNext,65,
AcCommand,Enumeration,acCmdRecordsGoToPrevious,66,
AcCommand,Enumeration,acCmdRecordsGoToFirst,67,
AcCommand,Enumeration,acCmdRecordsGoToLast,68,
AcCommand,Enumeration,acCmdSizeToFitForm,69,
AcCommand,Enumeration,acCmdEditingAllowed,70,
AcCommand,Enumeration,acCmdClearGrid,71,
AcCommand,Enumeration,acCmdJoinProperties,72,
AcCommand,Enumeration,acCmdQueryTotals,73,
AcCommand,Enumeration,acCmdQueryTypeCrosstab,74,
AcCommand,Enumeration,acCmdTableNames,75,
AcCommand,Enumeration,acCmdQueryParameters,76,
AcCommand,Enumeration,acCmdFormatCells,77,
AcCommand,Enumeration,acCmdDataEntry,78,
AcCommand,Enumeration,acCmdHideColumns,79,
AcCommand,Enumeration,acCmdUnhideColumns,80,
AcCommand,Enumeration,acCmdDeleteQueryColumn,81,
AcCommand,Enumeration,acCmdInsertQueryColumn,82,
AcCommand,Enumeration,acCmdRemoveTable,84,
AcCommand,Enumeration,acCmdViewToolbox,85,
AcCommand,Enumeration,acCmdSingleStep,88,
AcCommand,Enumeration,acCmdQueryTypeSelect,89,
AcCommand,Enumeration,acCmdQueryTypeUpdate,90,
AcCommand,Enumeration,acCmdQueryTypeAppend,91,
AcCommand,Enumeration,acCmdQueryTypeDelete,92,
AcCommand,Enumeration,acCmdApplyFilterSort,93,
AcCommand,Enumeration,acCmdQueryTypeMakeTable,94,
AcCommand,Enumeration,acCmdLoadFromQuery,95,
AcCommand,Enumeration,acCmdSaveAsQuery,96,
AcCommand,Enumeration,acCmdSaveRecord,97,
AcCommand,Enumeration,acCmdAdvancedFilterSort,99,
AcCommand,Enumeration,acCmdMicrosoftAccessHelpTopics,100,
AcCommand,Enumeration,acCmdLinkTables,102,
AcCommand,Enumeration,acCmdUserAndGroupPermissions,103,
AcCommand,Enumeration,acCmdUserAndGroupAccounts,104,
AcCommand,Enumeration,acCmdFreezeColumn,105,
AcCommand,Enumeration,acCmdUnfreezeAllColumns,106,
AcCommand,Enumeration,acCmdPrimaryKey,107,
AcCommand,Enumeration,acCmdSubformDatasheet,108,
AcCommand,Enumeration,acCmdSelectAllRecords,109,
AcCommand,Enumeration,acCmdViewTables,110,
AcCommand,Enumeration,acCmdViewQueries,111,
AcCommand,Enumeration,acCmdViewForms,112,
AcCommand,Enumeration,acCmdViewReports,113,
AcCommand,Enumeration,acCmdViewMacros,114,
AcCommand,Enumeration,acCmdViewModules,115,
AcCommand,Enumeration,acCmdRowHeight,116,
AcCommand,Enumeration,acCmdColumnWidth,117,
AcCommand,Enumeration,acCmdInsertFileIntoModule,118,
AcCommand,Enumeration,acCmdSaveModuleAsText,119,
AcCommand,Enumeration,acCmdFindPrevious,120,
AcCommand,Enumeration,acCmdWindowSplit,121,
AcCommand,Enumeration,acCmdProcedureDefinition,122,
AcCommand,Enumeration,acCmdDebugWindow,123,
AcCommand,Enumeration,acCmdReset,124,
AcCommand,Enumeration,acCmdCompileAllModules,125,
AcCommand,Enumeration,acCmdCompileAndSaveAllModules,126,
AcCommand,Enumeration,acCmdGoContinue,127,
AcCommand,Enumeration,acCmdStepOver,128,
AcCommand,Enumeration,acCmdSetNextStatement,129,
AcCommand,Enumeration,acCmdShowNextStatement,130,
AcCommand,Enumeration,acCmdToggleBreakpoint,131,
AcCommand,Enumeration,acCmdClearAllBreakpoints,132,
AcCommand,Enumeration,acCmdRelationships,133,
AcCommand,Enumeration,acCmdNewObjectTable,134,
AcCommand,Enumeration,acCmdNewObjectQuery,135,
AcCommand,Enumeration,acCmdNewObjectForm,136,
AcCommand,Enumeration,acCmdNewObjectReport,137,
AcCommand,Enumeration,acCmdNewObjectMacro,138,
AcCommand,Enumeration,acCmdNewObjectModule,139,
AcCommand,Enumeration,acCmdNewObjectClassModule,140,
AcCommand,Enumeration,acCmdLayoutPreview,141,
AcCommand,Enumeration,acCmdSaveAsReport,142,
AcCommand,Enumeration,acCmdRename,143,
AcCommand,Enumeration,acCmdRemoveFilterSort,144,
AcCommand,Enumeration,acCmdSaveLayout,145,
AcCommand,Enumeration,acCmdClearAll,146,
AcCommand,Enumeration,acCmdHideTable,147,
AcCommand,Enumeration,acCmdShowDirectRelationships,148,
AcCommand,Enumeration,acCmdShowAllRelationships,149,
AcCommand,Enumeration,acCmdCreateRelationship,150,
AcCommand,Enumeration,acCmdEditRelationship,151,
AcCommand,Enumeration,acCmdIndexes,152,
AcCommand,Enumeration,acCmdAlignToShortest,153,
AcCommand,Enumeration,acCmdAlignToTallest,154,
AcCommand,Enumeration,acCmdSizeToNarrowest,155,
AcCommand,Enumeration,acCmdSizeToWidest,156,
AcCommand,Enumeration,acCmdHorizontalSpacingMakeEqual,157,
AcCommand,Enumeration,acCmdHorizontalSpacingDecrease,158,
AcCommand,Enumeration,acCmdHorizontalSpacingIncrease,159,
AcCommand,Enumeration,acCmdVerticalSpacingMakeEqual,160,
AcCommand,Enumeration,acCmdVerticalSpacingDecrease,161,
AcCommand,Enumeration,acCmdVerticalSpacingIncrease,162,
AcCommand,Enumeration,acCmdSortAscending,163,
AcCommand,Enumeration,acCmdSortDescending,164,
AcCommand,Enumeration,acCmdToolbarsCustomize,165,
AcCommand,Enumeration,acCmdOLEObjectConvert,167,
AcCommand,Enumeration,acCmdQueryTypeSQLDataDefinition,168,
AcCommand,Enumeration,acCmdQueryTypeSQLPassThrough,169,
AcCommand,Enumeration,acCmdViewCode,170,
AcCommand,Enumeration,acCmdConvertDatabase,171,
AcCommand,Enumeration,acCmdCallStack,172,
AcCommand,Enumeration,acCmdSend,173,
AcCommand,Enumeration,acCmdOutputToExcel,175,
