Object,Property,Property split,Type,Access
_CheckBoxInOption,Application,Application,Application,R_O
_CheckBoxInOption,Parent,Parent,Object,R_O
_CheckBoxInOption,OldValue,Old Value,Variant,R_O
_CheckBoxInOption,Properties,Properties,Properties,R_O
_CheckBoxInOption,Controls,Controls,Children,R_O
_CheckBoxInOption,Value,Value,Variant,V
_CheckBoxInOption,EventProcPrefix,Event Proc Prefix,String,V
_CheckBoxInOption,ControlType,Control Type,Byte,V
_CheckBoxInOption,OptionValue,Option Value,Long,V
_CheckBoxInOption,ControlSource,Control Source,String,V
_CheckBoxInOption,DefaultValue,Default Value,String,V
_CheckBoxInOption,ValidationRule,Validation Rule,String,V
_CheckBoxInOption,ValidationText,Validation Text,String,V
_CheckBoxInOption,StatusBarText,Status Bar Text,String,V
_CheckBoxInOption,Visible,Visible,Boolean,V
_CheckBoxInOption,DisplayWhen,Display When,Byte,V
_CheckBoxInOption,Enabled,Enabled,Boolean,V
_CheckBoxInOption,Locked,Locked,Boolean,V
_CheckBoxInOption,TripleState,Triple State,Boolean,V
_CheckBoxInOption,TabStop,Tab Stop,Boolean,V
_CheckBoxInOption,TabIndex,Tab Index,Integer,V
_CheckBoxInOption,HideDuplicates,Hide Duplicates,Boolean,V
_CheckBoxInOption,Left,Left,Integer,V
_CheckBoxInOption,Top,Top,Integer,V
_CheckBoxInOption,Width,Width,Integer,V
_CheckBoxInOption,Height,Height,Integer,V
_CheckBoxInOption,SpecialEffect,Special Effect,Byte,V
_CheckBoxInOption,BorderStyle,Border Style,Byte,V
_CheckBoxInOption,OldBorderStyle,Old Border Style,Byte,V
_CheckBoxInOption,BorderWidth,Border Width,Byte,V
_CheckBoxInOption,BorderColor,Border Color,Long,V
_CheckBoxInOption,ShortcutMenuBar,Shortcut Menu Bar,String,V
_CheckBoxInOption,ControlTipText,Control Tip Text,String,V
_CheckBoxInOption,HelpContextId,Help Context Id,Long,V
_CheckBoxInOption,ColumnWidth,Column Width,Integer,V
_CheckBoxInOption,ColumnOrder,Column Order,Integer,V
_CheckBoxInOption,ColumnHidden,Column Hidden,Boolean,V
_CheckBoxInOption,AutoLabel,Auto Label,Boolean,V
_CheckBoxInOption,AddColon,Add Colon,Boolean,V
_CheckBoxInOption,LabelX,Label X,Integer,V
_CheckBoxInOption,LabelY,Label Y,Integer,V
_CheckBoxInOption,LabelAlign,Label Align,Byte,V
_CheckBoxInOption,Section,Section,Integer,V
_CheckBoxInOption,Tag,Tag,String,V
_CheckBoxInOption,IsVisible,Is Visible,Boolean,V
_CheckBoxInOption,InSelection,In Selection,Boolean,V
_CheckBoxInOption,BeforeUpdate,Before Update,String,V
_CheckBoxInOption,AfterUpdate,After Update,String,V
_CheckBoxInOption,OnEnter,On Enter,String,V
_CheckBoxInOption,OnExit,On Exit,String,V
_CheckBoxInOption,OnGotFocus,On Got Focus,String,V
_CheckBoxInOption,OnLostFocus,On Lost Focus,String,V
_CheckBoxInOption,OnClick,On Click,String,V
_CheckBoxInOption,OnDblClick,On Dbl Click,String,V
_CheckBoxInOption,OnMouseDown,On Mouse Down,String,V
_CheckBoxInOption,OnMouseMove,On Mouse Move,String,V
_CheckBoxInOption,OnMouseUp,On Mouse Up,String,V
_CheckBoxInOption,OnKeyDown,On Key Down,String,V
_CheckBoxInOption,OnKeyUp,On Key Up,String,V
_CheckBoxInOption,OnKeyPress,On Key Press,String,V
_CheckBoxInOption,ReadingOrder,Reading Order,Byte,V
