Owner,Kind,Constant,Value,Description
Constants,Enumeration,xlAll,-4104,All
Constants,Enumeration,xlAutomatic,-4105,Automatic
Constants,Enumeration,xlBoth,1,Both
Constants,Enumeration,xlCenter,-4108,Center
Constants,Enumeration,xlChecker,9,Checker
Constants,Enumeration,xlCircle,8,Circle
Constants,Enumeration,xlCorner,2,Corner
Constants,Enumeration,xlCrissCross,16,CrissCross
Constants,Enumeration,xlCross,4,Cross
Constants,Enumeration,xlDiamond,2,Diamond
Constants,Enumeration,xlDistributed,-4117,Distributed
Constants,Enumeration,xlDoubleAccounting,5,Double Accounting
Constants,Enumeration,xlFixedValue,1,Fixed Value
Constants,Enumeration,xlFormats,-4122,Formats
Constants,Enumeration,xlGray16,17,Gray16
Constants,Enumeration,xlGray8,18,Gray8
Constants,Enumeration,xlGrid,15,Grid
Constants,Enumeration,xlHigh,-4127,High
Constants,Enumeration,xlInside,2,Inside
Constants,Enumeration,xlJustify,-4130,Justify
Constants,Enumeration,xlLightDown,13,Light Down
Constants,Enumeration,xlLightHorizontal,11,Light Horizontal
Constants,Enumeration,xlLightUp,14,Light Up
Constants,Enumeration,xlLightVertical,12,Light Vertical
Constants,Enumeration,xlLow,-4134,Low
Constants,Enumeration,xlManual,-4135,Manual
Constants,Enumeration,xlMinusValues,3,Minus Values
Constants,Enumeration,xlModule,-4141,Module
Constants,Enumeration,xlNextToAxis,4,Next To Axis
Constants,Enumeration,xlNone,-4142,None
Constants,Enumeration,xlNotes,-4144,Notes
Constants,Enumeration,xlOff,-4146,Off
Constants,Enumeration,xlOn,1,On
Constants,Enumeration,xlPercent,2,Percent
Constants,Enumeration,xlPlus,9,Plus
Constants,Enumeration,xlPlusValues,2,Plus Values
Constants,Enumeration,xlSemiGray75,10,SemiGray75
Constants,Enumeration,xlShowLabel,4,Show Label
Constants,Enumeration,xlShowLabelAndPercent,5,Show Label and Percent
Constants,Enumeration,xlShowPercent,3,Show Percent
Constants,Enumeration,xlShowValue,2,Show Value
Constants,Enumeration,xlSimple,-4154,Simple
Constants,Enumeration,xlSingle,2,Single
Constants,Enumeration,xlSingleAccounting,4,Single Accounting
Constants,Enumeration,xlSolid,1,Solid
Constants,Enumeration,xlSquare,1,Square
Constants,Enumeration,xlStar,5,Star
Constants,Enumeration,xlStError,4,St Error
Constants,Enumeration,xlToolbarButton,2,Toolbar Button
Constants,Enumeration,xlTriangle,3,Triangle
Constants,Enumeration,xlGray25,-4124,Gray25
Constants,Enumeration,xlGray50,-4125,Gray50
Constants,Enumeration,xlGray75,-4126,Gray75
Constants,Enumeration,xlBottom,-4107,Bottom
Constants,Enumeration,xlLeft,-4131,Left
Constants,Enumeration,xlRight,-4152,Right
Constants,Enumeration,xlTop,-4160,Top
Constants,Enumeration,xl3DBar,-4099,3D Bar
Constants,Enumeration,xl3DSurface,-4103,3D Surface
Constants,Enumeration,xlBar,2,Automatic
Constants,Enumeration,xlColumn,3,Column
Constants,Enumeration,xlCombination,-4111,Combination
Constants,Enumeration,xlCustom,-4114,Custom
Constants,Enumeration,xlDefaultAutoFormat,-1,Default Auto Format
Constants,Enumeration,xlMaximum,2,Maximum
Constants,Enumeration,xlMinimum,4,Minimum
Constants,Enumeration,xlOpaque,3,Opaque
Constants,Enumeration,xlTransparent,2,Transparent
Constants,Enumeration,xlBidi,-5000,Bidi
Constants,Enumeration,xlLatin,-5001,Latin
Constants,Enumeration,xlContext,-5002,Context
Constants,Enumeration,xlLTR,-5003,LTR
Constants,Enumeration,xlRTL,-5004,RTL
Constants,Enumeration,xlFullScript,1,Full Script
Constants,Enumeration,xlPartialScript,2,Partial Script
Constants,Enumeration,xlMixedScript,3,Mixed Script
Constants,Enumeration,xlMixedAuthorizedScript,4,Mixed Authorized Script
Constants,Enumeration,xlVisualCursor,2,Visual Cursor
Constants,Enumeration,xlLogicalCursor,1,Logical Cursor
Constants,Enumeration,xlSystem,1,System
Constants,Enumeration,xlPartial,3,Partial
Constants,Enumeration,xlHindiNumerals,3,Hindi Numerals
Constants,Enumeration,xlBidiCalendar,3,BidiCalendar
Constants,Enumeration,xlGregorian,2,Gregorian
Constants,Enumeration,xlComplete,4,Complete
Constants,Enumeration,xlScale,3,Scale
Constants,Enumeration,xlClosed,3,Closed
Constants,Enumeration,xlColor1,7,Color1
Constants,Enumeration,xlColor2,8,Color2
Constants,Enumeration,xlColor3,9,Color3
Constants,Enumeration,xlConstants,2,Constants
Constants,Enumeration,xlContents,2,Contents
Constants,Enumeration,xlBelow,1,Below
Constants,Enumeration,xlCascade,7,Cascade
Constants,Enumeration,xlCenterAcrossSelection,7,Center Across Selection
Constants,Enumeration,xlChart4,2,Chart 4
Constants,Enumeration,xlChartSeries,17,Chart Series
Constants,Enumeration,xlChartShort,6,Chart Short
Constants,Enumeration,xlChartTitles,18,Chart Titles
