Object,Property,Property split,Type,Access
AboveAverage,Application,Application,Application,R_O
AboveAverage,Creator,Creator,XlCreator,R_O
AboveAverage,Parent,Parent,Object,R_O
AboveAverage,Priority,Priority,Long,V
AboveAverage,StopIfTrue,Stop If True,Boolean,V
AboveAverage,AppliesTo,Applies To,Range,R_O
AboveAverage,AboveBelow,Above Below,XlAboveBelow,V
AboveAverage,Interior,Interior,Interior,R_O
AboveAverage,Borders,Borders,Borders,R_O
AboveAverage,Font,Font,Font,R_O
AboveAverage,Type,Type,Long,R_O
AboveAverage,NumberFormat,Number Format,Variant,V
AboveAverage,PTCondition,PT Condition,Boolean,R_O
AboveAverage,ScopeType,Scope Type,XlPivotConditionScope,V
AboveAverage,CalcFor,Calc For,XlCalcFor,V
AboveAverage,NumStdDev,Num Std Dev,Long,V
Action,Application,Application,Application,R_O
Action,Creator,Creator,XlCreator,R_O
Action,Parent,Parent,Object,R_O
Action,Name,Name,String,R_O
Action,Caption,Caption,String,R_O
Action,Type,Type,XlActionType,R_O
Action,Coordinate,Coordinate,String,R_O
Action,Content,Content,String,R_O
Actions,Application,Application,Application,R_O
Actions,Creator,Creator,XlCreator,R_O
Actions,Parent,Parent,Object,R_O
Actions,_Default,_Default,Action,R_O
Actions,_NewEnum,_New Enum,IUnknown,R_O
Actions,Item,Item,Action,R_O
Actions,Count,Count,Long,R_O
AddIn,Application,Application,Application,R_O
AddIn,Creator,Creator,XlCreator,R_O
AddIn,Parent,Parent,Object,R_O
AddIn,FullName,Full Name,String,R_O
AddIn,Installed,Installed,Boolean,V
AddIn,Name,Name,String,R_O
AddIn,Path,Path,String,R_O
AddIn,progID,prog ID,String,R_O
AddIn,CLSID,CLSID,String,R_O
AddIn,IsOpen,Is Open,Boolean,R_O
AddIns,Application,Application,Application,R_O
AddIns,Creator,Creator,XlCreator,R_O
AddIns,Parent,Parent,Object,R_O
AddIns,Count,Count,Long,R_O
AddIns,Item,Item,AddIn,R_O
AddIns,_NewEnum,_New Enum,IUnknown,R_O
AddIns,_Default,_Default,AddIn,R_O
AddIns2,Application,Application,Application,R_O
AddIns2,Creator,Creator,XlCreator,R_O
AddIns2,Parent,Parent,Object,R_O
AddIns2,Count,Count,Long,R_O
AddIns2,Item,Item,AddIn,R_O
AddIns2,_NewEnum,_New Enum,IUnknown,R_O
AddIns2,_Default,_Default,AddIn,R_O
Adjustments,Application,Application,Object,R_O
Adjustments,Creator,Creator,Long,R_O
Adjustments,Parent,Parent,Object,R_O
Adjustments,Count,Count,Long,R_O
Adjustments,Item,Item,Single,V
AllowEditRange,Title,Title,String,V
AllowEditRange,Range,Range,Range,V
AllowEditRange,Users,Users,UserAccessList,R_O
AllowEditRanges,Count,Count,Long,R_O
AllowEditRanges,Item,Item,AllowEditRange,R_O
AllowEditRanges,_Default,_Default,AllowEditRange,R_O
AllowEditRanges,_NewEnum,_New Enum,IUnknown,R_O
Application,Application,Application,Application,R_O
Application,Creator,Creator,XlCreator,R_O
Application,Parent,Parent,Application,R_O
Application,ActiveCell,Active Cell,Range,R_O
Application,ActiveChart,Active Chart,Chart,R_O
Application,ActivePrinter,Active Printer,String,V
Application,ActiveSheet,Active Sheet,Object,R_O
Application,ActiveWindow,Active Window,Window,R_O
Application,ActiveWorkbook,Active Workbook,Workbook,R_O
Application,AddIns,Add Ins,AddIns,R_O
Application,Cells,Cells,Range,R_O
Application,Charts,Charts,Sheets,R_O
Application,Columns,Columns,Range,R_O
Application,CommandBars,Command Bars,CommandBars,R_O
Application,DDEAppReturnCode,DDE App Return Code,Long,R_O
Application,Names,Names,Names,R_O
Application,Range,Range,Range,R_O
Application,Rows,Rows,Range,R_O
Application,Selection,Selection,Object,R_O
Application,Sheets,Sheets,Sheets,R_O
Application,ThisWorkbook,This Workbook,Workbook,R_O
Application,Windows,Windows,Windows,R_O
Application,Workbooks,Workbooks,Workbooks,R_O
Application,WorksheetFunction,Worksheet Function,WorksheetFunction,R_O
Application,Worksheets,Worksheets,Sheets,R_O
Application,Excel4IntlMacroSheets,Excel4 Intl Macro Sheets,Sheets,R_O
Application,Excel4MacroSheets,Excel4 Macro Sheets,Sheets,R_O
Application,AlertBeforeOverwriting,Alert Before Overwriting,Boolean,V
Application,AltStartupPath,Alt Startup Path,String,V
Application,AskToUpdateLinks,Ask To Update Links,Boolean,V
Application,EnableAnimations,Enable Animations,Boolean,V
Application,AutoCorrect,Auto Correct,AutoCorrect,R_O
Application,Build,Build,Long,R_O
Application,CalculateBeforeSave,Calculate Before Save,Boolean,V
Application,Calculation,Calculation,XlCalculation,V
Application,Caller,Caller,Variant,R_O
Application,CanPlaySounds,Can Play Sounds,Boolean,R_O
Application,CanRecordSounds,Can Record Sounds,Boolean,R_O
Application,Caption,Caption,String,V
Application,CellDragAndDrop,Cell Drag And Drop,Boolean,V
Application,ClipboardFormats,Clipboard Formats,Variant,R_O
Application,DisplayClipboardWindow,Display Clipboard Window,Boolean,V
Application,CommandUnderlines,Command Underlines,XlCommandUnderlines,V
Application,ConstrainNumeric,Constrain Numeric,Boolean,V
Application,CopyObjectsWithCells,Copy Objects With Cells,Boolean,V
Application,Cursor,Cursor,XlMousePointer,V
Application,CustomListCount,Custom List Count,Long,R_O
Application,CutCopyMode,Cut Copy Mode,XlCutCopyMode,V
Application,DataEntryMode,Data Entry Mode,Long,V
Application,_Default,_Default,String,R_O
Application,DefaultFilePath,Default File Path,String,V
Application,Dialogs,Dialogs,Dialogs,R_O
Application,DisplayAlerts,Display Alerts,Boolean,V
Application,DisplayFormulaBar,Display Formula Bar,Boolean,V
Application,DisplayFullScreen,Display Full Screen,Boolean,V
Application,DisplayNoteIndicator,Display Note Indicator,Boolean,V
Application,DisplayCommentIndicator,Display Comment Indicator,XlCommentDisplayMode,V
Application,DisplayExcel4Menus,Display Excel4 Menus,Boolean,V
Application,DisplayRecentFiles,Display Recent Files,Boolean,V
Application,DisplayScrollBars,Display Scroll Bars,Boolean,V
Application,DisplayStatusBar,Display Status Bar,Boolean,V
Application,EditDirectlyInCell,Edit Directly In Cell,Boolean,V
Application,EnableAutoComplete,Enable Auto Complete,Boolean,V
Application,EnableCancelKey,Enable Cancel Key,XlEnableCancelKey,V
Application,EnableSound,Enable Sound,Boolean,V
Application,FileConverters,File Converters,Variant,R_O
Application,FixedDecimal,Fixed Decimal,Boolean,V
Application,FixedDecimalPlaces,Fixed Decimal Places,Long,V
Application,Height,Height,Double,V
Application,IgnoreRemoteRequests,Ignore Remote Requests,Boolean,V
Application,Interactive,Interactive,Boolean,V
Application,International,International,Variant,R_O
Application,Iteration,Iteration,Boolean,V
Application,Left,Left,Double,V
Application,LibraryPath,Library Path,String,R_O
Application,MailSession,Mail Session,Variant,R_O
Application,MailSystem,Mail System,XlMailSystem,R_O
Application,MathCoprocessorAvailable,Math Coprocessor Available,Boolean,R_O
Application,MaxChange,Max Change,Double,V
Application,MaxIterations,Max Iterations,Long,V
Application,MouseAvailable,Mouse Available,Boolean,R_O
Application,MoveAfterReturn,Move After Return,Boolean,V
Application,MoveAfterReturnDirection,Move After Return Direction,XlDirection,V
Application,RecentFiles,Recent Files,RecentFiles,R_O
Application,Name,Name,String,R_O
Application,NetworkTemplatesPath,Network Templates Path,String,R_O
Application,ODBCErrors,ODBC Errors,ODBCErrors,R_O
Application,ODBCTimeout,ODBC Timeout,Long,V
Application,OnWindow,On Window,String,V
Application,OperatingSystem,Operating System,String,R_O
Application,OrganizationName,Organization Name,String,R_O
Application,Path,Path,String,R_O
Application,PathSeparator,Path Separator,String,R_O
Application,PreviousSelections,Previous Selections,Variant,R_O
Application,PivotTableSelection,Pivot Table Selection,Boolean,V
Application,PromptForSummaryInfo,Prompt For Summary Info,Boolean,V
Application,RecordRelative,Record Relative,Boolean,R_O
Application,ReferenceStyle,Reference Style,XlReferenceStyle,V
Application,RegisteredFunctions,Registered Functions,Variant,R_O
Application,RollZoom,Roll Zoom,Boolean,V
Application,ScreenUpdating,Screen Updating,Boolean,V
Application,SheetsInNewWorkbook,Sheets In New Workbook,Long,V
Application,ShowChartTipNames,Show Chart Tip Names,Boolean,V
Application,ShowChartTipValues,Show Chart Tip Values,Boolean,V
Application,StandardFont,Standard Font,String,V
Application,StandardFontSize,Standard Font Size,Double,V
Application,StartupPath,Startup Path,String,R_O
Application,StatusBar,Status Bar,Variant,V
Application,TemplatesPath,Templates Path,String,R_O
Application,ShowToolTips,Show Tool Tips,Boolean,V
Application,Top,Top,Double,V
Application,DefaultSaveFormat,Default Save Format,XlFileFormat,V
Application,TransitionMenuKey,Transition Menu Key,String,V
Application,TransitionMenuKeyAction,Transition Menu Key Action,Long,V
Application,TransitionNavigKeys,Transition Navig Keys,Boolean,V
Application,UsableHeight,Usable Height,Double,R_O
Application,UsableWidth,Usable Width,Double,R_O
Application,UserControl,User Control,Boolean,V
Application,UserName,User Name,String,V
Application,Value,Value,String,R_O
Application,VBE,VBE,VBE,R_O
Application,Version,Version,String,R_O
Application,Visible,Visible,Boolean,V
Application,Width,Width,Double,V
Application,WindowsForPens,Windows For Pens,Boolean,R_O
Application,WindowState,Window State,XlWindowState,V
Application,DefaultSheetDirection,Default Sheet Direction,Long,V
Application,CursorMovement,Cursor Movement,Long,V
Application,ControlCharacters,Control Characters,Boolean,V
Application,EnableEvents,Enable Events,Boolean,V
Application,ExtendList,Extend List,Boolean,V
Application,OLEDBErrors,OLEDB Errors,OLEDBErrors,R_O
Application,COMAddIns,COM Add Ins,COMAddIns,R_O
Application,DefaultWebOptions,Default Web Options,DefaultWebOptions,R_O
Application,ProductCode,Product Code,String,R_O
Application,UserLibraryPath,User Library Path,String,R_O
Application,AutoPercentEntry,Auto Percent Entry,Boolean,V
Application,LanguageSettings,Language Settings,LanguageSettings,R_O
Application,CalculationVersion,Calculation Version,Long,R_O
Application,FeatureInstall,Feature Install,MsoFeatureInstall,V
Application,Ready,Ready,Boolean,R_O
Application,FindFormat,Find Format,CellFormat,V
Application,ReplaceFormat,Replace Format,CellFormat,V
Application,UsedObjects,Used Objects,UsedObjects,R_O
Application,CalculationState,Calculation State,XlCalculationState,R_O
Application,CalculationInterruptKey,Calculation Interrupt Key,XlCalculationInterruptKey,V
Application,Watches,Watches,Watches,R_O
Application,DisplayFunctionToolTips,Display Function Tool Tips,Boolean,V
Application,AutomationSecurity,Automation Security,MsoAutomationSecurity,V
Application,FileDialog,File Dialog,FileDialog,R_O
Application,DisplayPasteOptions,Display Paste Options,Boolean,V
Application,DisplayInsertOptions,Display Insert Options,Boolean,V
Application,GenerateGetPivotData,Generate Get Pivot Data,Boolean,V
Application,AutoRecover,Auto Recover,AutoRecover,R_O
Application,Hwnd,Hwnd,Long,R_O
Application,Hinstance,Hinstance,Long,R_O
Application,ErrorCheckingOptions,Error Checking Options,ErrorCheckingOptions,R_O
Application,AutoFormatAsYouTypeReplaceHyperlinks,Auto Format As You Type Replace Hyperlinks,Boolean,V
Application,NewWorkbook,New Workbook,NewFile,R_O
Application,SpellingOptions,Spelling Options,SpellingOptions,R_O
Application,Speech,Speech,Speech,R_O
Application,MapPaperSize,Map Paper Size,Boolean,V
Application,ShowStartupDialog,Show Startup Dialog,Boolean,V
Application,DecimalSeparator,Decimal Separator,String,V
Application,ThousandsSeparator,Thousands Separator,String,V
Application,UseSystemSeparators,Use System Separators,Boolean,V
Application,ThisCell,This Cell,Range,R_O
Application,RTD,RTD,RTD,R_O
Application,DisplayDocumentActionTaskPane,Display Document Action Task Pane,Boolean,V
