Owner,Kind,Constant,Value,Description
MsoAnimAccumulate,Enumeration,msoAnimAccumulateNone,1,Does not accumulate.
MsoAnimAccumulate,Enumeration,msoAnimAccumulateAlways,2,Accumulates with other animation behaviors.
MsoAnimAdditive,Enumeration,msoAnimAdditiveAddBase,1,Uses the animation behavior of the base animations.
MsoAnimAdditive,Enumeration,msoAnimAdditiveAddSum,2,Adds together the animation behavior of multiple animations.
MsoAnimAfterEffect,Enumeration,msoAnimAfterEffectMixed,-1,Mixed
MsoAnimAfterEffect,Enumeration,msoAnimAfterEffectNone,0,Unchanged
MsoAnimAfterEffect,Enumeration,msoAnimAfterEffectDim,1,Dimmed
MsoAnimAfterEffect,Enumeration,msoAnimAfterEffectHide,2,Hidden
MsoAnimAfterEffect,Enumeration,msoAnimAfterEffectHideOnNextClick,3,Hidden on the next mouse click
MsoAnimateByLevel,Enumeration,msoAnimateLevelMixed,-1,Animate level mixed
MsoAnimateByLevel,Enumeration,msoAnimateLevelNone,0,Animate level none
MsoAnimateByLevel,Enumeration,msoAnimateTextByAllLevels,1,Animate text by all levels
MsoAnimateByLevel,Enumeration,msoAnimateTextByFirstLevel,2,Animate text by first level
MsoAnimateByLevel,Enumeration,msoAnimateTextBySecondLevel,3,Animate text by second level
MsoAnimateByLevel,Enumeration,msoAnimateTextByThirdLevel,4,Animate text by third level
MsoAnimateByLevel,Enumeration,msoAnimateTextByFourthLevel,5,Animate text by fourth level
MsoAnimateByLevel,Enumeration,msoAnimateTextByFifthLevel,6,Animate text by fifth level
MsoAnimateByLevel,Enumeration,msoAnimateChartAllAtOnce,7,Animate chart all at once
MsoAnimateByLevel,Enumeration,msoAnimateChartByCategory,8,Animate chart by category
MsoAnimateByLevel,Enumeration,msoAnimateChartByCategoryElements,9,Animate chart by category elements
MsoAnimateByLevel,Enumeration,msoAnimateChartBySeries,10,Animate chart by series
MsoAnimateByLevel,Enumeration,msoAnimateChartBySeriesElements,11,Animate chart by series elements
MsoAnimateByLevel,Enumeration,msoAnimateDiagramAllAtOnce,12,Animate diagram all at once
MsoAnimateByLevel,Enumeration,msoAnimateDiagramDepthByNode,13,Animate diagram depth by node
MsoAnimateByLevel,Enumeration,msoAnimateDiagramDepthByBranch,14,Animate diagram depth by branch
MsoAnimateByLevel,Enumeration,msoAnimateDiagramBreadthByNode,15,Animate diagram breadth by node
MsoAnimateByLevel,Enumeration,msoAnimateDiagramBreadthByLevel,16,Animate diagram breadth by level
MsoAnimateByLevel,Enumeration,msoAnimateDiagramClockwise,17,Animate diagram clockwise
MsoAnimateByLevel,Enumeration,msoAnimateDiagramClockwiseIn,18,Animate diagram clockwise in
MsoAnimateByLevel,Enumeration,msoAnimateDiagramClockwiseOut,19,Animate diagram clockwise out
MsoAnimateByLevel,Enumeration,msoAnimateDiagramCounterClockwise,20,Animate diagram counter-clockwise
MsoAnimateByLevel,Enumeration,msoAnimateDiagramCounterClockwiseIn,21,Animate diagram counter-clockwise in
MsoAnimateByLevel,Enumeration,msoAnimateDiagramCounterClockwiseOut,22,Animate diagram counter-clockwise out
MsoAnimateByLevel,Enumeration,msoAnimateDiagramInByRing,23,Animate diagram in by ring
MsoAnimateByLevel,Enumeration,msoAnimateDiagramOutByRing,24,Animate diagram out by ring
MsoAnimateByLevel,Enumeration,msoAnimateDiagramUp,25,Animate diagram up
MsoAnimateByLevel,Enumeration,msoAnimateDiagramDown,26,Animate diagram down
MsoAnimCommandType,Enumeration,msoAnimCommandTypeEvent,0,Event
MsoAnimCommandType,Enumeration,msoAnimCommandTypeCall,1,Call
MsoAnimCommandType,Enumeration,msoAnimCommandTypeVerb,2,Verb
MsoAnimDirection,Enumeration,msoAnimDirectionNone,0,None
MsoAnimDirection,Enumeration,msoAnimDirectionUp,1,Moves Up
MsoAnimDirection,Enumeration,msoAnimDirectionRight,2,Moves to the Right
MsoAnimDirection,Enumeration,msoAnimDirectionDown,3,Down
MsoAnimDirection,Enumeration,msoAnimDirectionLeft,4,Appears from Left
MsoAnimDirection,Enumeration,msoAnimDirectionOrdinalMask,5,Ordinal Mask
MsoAnimDirection,Enumeration,msoAnimDirectionUpLeft,6,Moves up to the Left
MsoAnimDirection,Enumeration,msoAnimDirectionUpRight,7,Moves up to the Right
MsoAnimDirection,Enumeration,msoAnimDirectionDownRight,8,Down Right
MsoAnimDirection,Enumeration,msoAnimDirectionDownLeft,9,Down Left
MsoAnimDirection,Enumeration,msoAnimDirectionTop,10,Moves to the Top
