Object,Property,Property split,Type,Access
ActionSetting,Application,Application,Application,R_O
ActionSetting,Parent,Parent,Object,R_O
ActionSetting,Action,Action,PpActionType,V
ActionSetting,ActionVerb,Action Verb,String,V
ActionSetting,AnimateAction,Animate Action,MsoTriState,V
ActionSetting,Run,Run,String,V
ActionSetting,SlideShowName,Slide Show Name,String,V
ActionSetting,Hyperlink,Hyperlink,Hyperlink,R_O
ActionSetting,SoundEffect,Sound Effect,SoundEffect,R_O
ActionSetting,ShowAndReturn,Show And Return,MsoTriState,V
ActionSettings,Count,Count,Long,R_O
ActionSettings,Application,Application,Application,R_O
ActionSettings,Parent,Parent,Object,R_O
AddIn,Application,Application,Application,R_O
AddIn,Parent,Parent,Object,R_O
AddIn,FullName,Full Name,String,R_O
AddIn,Name,Name,String,R_O
AddIn,Path,Path,String,R_O
AddIn,Registered,Registered,MsoTriState,V
AddIn,AutoLoad,Auto Load,MsoTriState,V
AddIn,Loaded,Loaded,MsoTriState,V
AddIns,Count,Count,Long,R_O
AddIns,Application,Application,Application,R_O
AddIns,Parent,Parent,Object,R_O
Adjustments,Application,Application,Object,R_O
Adjustments,Creator,Creator,Long,R_O
Adjustments,Parent,Parent,Object,R_O
Adjustments,Count,Count,Long,R_O
Adjustments,Item,Item,Single,V
AnimationBehavior,Application,Application,Application,R_O
AnimationBehavior,Parent,Parent,Object,R_O
AnimationBehavior,Additive,Additive,MsoAnimAdditive,V
AnimationBehavior,Accumulate,Accumulate,MsoAnimAccumulate,V
AnimationBehavior,Type,Type,MsoAnimType,V
AnimationBehavior,MotionEffect,Motion Effect,MotionEffect,R_O
AnimationBehavior,ColorEffect,Color Effect,ColorEffect,R_O
AnimationBehavior,ScaleEffect,Scale Effect,ScaleEffect,R_O
AnimationBehavior,RotationEffect,Rotation Effect,RotationEffect,R_O
AnimationBehavior,PropertyEffect,Property Effect,PropertyEffect,R_O
AnimationBehavior,Timing,Timing,Timing,R_O
AnimationBehavior,CommandEffect,Command Effect,CommandEffect,R_O
AnimationBehavior,FilterEffect,Filter Effect,FilterEffect,R_O
AnimationBehavior,SetEffect,Set Effect,SetEffect,R_O
AnimationBehaviors,Count,Count,Long,R_O
AnimationBehaviors,Application,Application,Application,R_O
AnimationBehaviors,Parent,Parent,Object,R_O
AnimationPoint,Application,Application,Application,R_O
AnimationPoint,Parent,Parent,Object,R_O
AnimationPoint,Time,Time,Single,V
AnimationPoint,Value,Value,Variant,V
AnimationPoint,Formula,Formula,String,V
AnimationPoints,Count,Count,Long,R_O
AnimationPoints,Application,Application,Application,R_O
AnimationPoints,Parent,Parent,Object,R_O
AnimationPoints,Smooth,Smooth,MsoTriState,V
AnimationSettings,Application,Application,Application,R_O
AnimationSettings,Parent,Parent,Object,R_O
AnimationSettings,DimColor,Dim Color,ColorFormat,R_O
AnimationSettings,SoundEffect,Sound Effect,SoundEffect,R_O
AnimationSettings,EntryEffect,Entry Effect,PpEntryEffect,V
AnimationSettings,AfterEffect,After Effect,PpAfterEffect,V
AnimationSettings,AnimationOrder,Animation Order,Long,V
AnimationSettings,AdvanceMode,Advance Mode,PpAdvanceMode,V
AnimationSettings,AdvanceTime,Advance Time,Single,V
