Owner,Kind,Constant,Value,Description
BackstageGroupStyle,Enumeration,BackstageGroupStyleNormal,0,Normal style
BackstageGroupStyle,Enumeration,BackstageGroupStyleWarning,1,Warning style
BackstageGroupStyle,Enumeration,BackstageGroupStyleError,2,Error style
CertificateDetail,Enumeration,certdetAvailable,0,Specifies that the digital certificate is available for signing.
CertificateDetail,Enumeration,certdetSubject,1,The holder of a Private Key corresponding to a Public Key.
CertificateDetail,Enumeration,certdetIssuer,2,The issuing authority of the certification.
CertificateDetail,Enumeration,certdetExpirationDate,3,The expiration date of the certificate.
CertificateDetail,Enumeration,certdetThumbprint,4,A hash of the certificate's complete contents.
CertificateVerificationResults,Enumeration,certverresError,0,The verification resulted in an error.
CertificateVerificationResults,Enumeration,certverresVerifying,1,The certificate is currently being verified.
CertificateVerificationResults,Enumeration,certverresUnverified,2,The certification is currently unverified.
CertificateVerificationResults,Enumeration,certverresValid,3,The certification is valid.
CertificateVerificationResults,Enumeration,certverresInvalid,4,The certification is invalid.
CertificateVerificationResults,Enumeration,certverresExpired,5,The certification has expired.
CertificateVerificationResults,Enumeration,certverresRevoked,6,The certification has been revoked.
CertificateVerificationResults,Enumeration,certverresUntrusted,7,The certification is from an untrusted source.
ContentVerificationResults,Enumeration,contverresError,0,The verification resulted in an error.
ContentVerificationResults,Enumeration,contverresVerifying,1,The content of the document is currently being verified.
ContentVerificationResults,Enumeration,contverresUnverified,2,The document has not been verified.
ContentVerificationResults,Enumeration,contverresValid,3,The content of the document has been verified and is valid.
ContentVerificationResults,Enumeration,contverresModified,4,The content of the document has been modified since it was digitally signed.
DocProperties,Enumeration,offPropertyTypeNumber,1,
DocProperties,Enumeration,offPropertyTypeBoolean,2,
DocProperties,Enumeration,offPropertyTypeDate,3,
DocProperties,Enumeration,offPropertyTypeString,4,
DocProperties,Enumeration,offPropertyTypeFloat,5,
EncryptionCipherMode,Enumeration,cipherModeECB,0,ECB cipher mode
EncryptionCipherMode,Enumeration,cipherModeCBC,1,CBC cipher mode
EncryptionProviderDetail,Enumeration,encprovdetUrl,0,A URL encryption provider.
EncryptionProviderDetail,Enumeration,encprovdetAlgorithm,1,An algorithm encryption provider.
EncryptionProviderDetail,Enumeration,encprovdetBlockCipher,2,A block cipher encryption provider.
EncryptionProviderDetail,Enumeration,encprovdetCipherBlockSize,3,A cipher block size encryption provider.
EncryptionProviderDetail,Enumeration,encprovdetCipherMode,4,A cipher mode encryption provider.
MailFormat,Enumeration,mfPlainText,1,The email is displayed as plain text.
MailFormat,Enumeration,mfHTML,2,The email is displayed as HyperText Markup Language (HTML).
MailFormat,Enumeration,mfRTF,3,The email is displayed as Rich Text Format (RTF).
MsoAlertButtonType,Enumeration,msoAlertButtonOK,0,
MsoAlertButtonType,Enumeration,msoAlertButtonOKCancel,1,
MsoAlertButtonType,Enumeration,msoAlertButtonAbortRetryIgnore,2,
MsoAlertButtonType,Enumeration,msoAlertButtonYesNoCancel,3,
MsoAlertButtonType,Enumeration,msoAlertButtonYesNo,4,
MsoAlertButtonType,Enumeration,msoAlertButtonRetryCancel,5,
MsoAlertButtonType,Enumeration,msoAlertButtonYesAllNoCancel,6,
MsoAlertCancelType,Enumeration,msoAlertCancelDefault,-1,Default behavior for canceling an alert.
MsoAlertCancelType,Enumeration,msoAlertCancelFirst,0,Not supported.
MsoAlertCancelType,Enumeration,msoAlertCancelSecond,1,Not supported.
MsoAlertCancelType,Enumeration,msoAlertCancelThird,2,Not supported.
MsoAlertCancelType,Enumeration,msoAlertCancelFourth,3,Not supported.
MsoAlertCancelType,Enumeration,msoAlertCancelFifth,4,Not supported.
MsoAlertDefaultType,Enumeration,msoAlertDefaultFirst,0,
MsoAlertDefaultType,Enumeration,msoAlertDefaultSecond,1,
MsoAlertDefaultType,Enumeration,msoAlertDefaultThird,2,
MsoAlertDefaultType,Enumeration,msoAlertDefaultFourth,3,
MsoAlertDefaultType,Enumeration,msoAlertDefaultFifth,4,
MsoAlertIconType,Enumeration,msoAlertIconNoIcon,0,Displays no icon with the alert message.
MsoAlertIconType,Enumeration,msoAlertIconCritical,1,Displays the Critical icon.
MsoAlertIconType,Enumeration,msoAlertIconQuery,2,Displays the Query icon.
MsoAlertIconType,Enumeration,msoAlertIconWarning,3,Displays the Warning icon.
MsoAlertIconType,Enumeration,msoAlertIconInfo,4,Displays the Info icon.
MsoAlignCmd,Enumeration,msoAlignLefts,0,Align left sides of specified objects.
MsoAlignCmd,Enumeration,msoAlignCenters,1,Align centers of specified objects.
MsoAlignCmd,Enumeration,msoAlignRights,2,Align right sides of specified objects.
