Object,Property,Property split,Type,Access
Adjustments,Application,Application,Object,R_O
Adjustments,Creator,Creator,Long,R_O
Adjustments,Parent,Parent,Object,R_O
Adjustments,Count,Count,Long,R_O
Adjustments,Item,Item,Single,V
AnswerWizard,Application,Application,Object,R_O
AnswerWizard,Creator,Creator,Long,R_O
AnswerWizard,Parent,Parent,Object,R_O
AnswerWizard,Files,Files,AnswerWizardFiles,R_O
AnswerWizardFiles,Application,Application,Object,R_O
AnswerWizardFiles,Creator,Creator,Long,R_O
AnswerWizardFiles,Parent,Parent,Object,R_O
AnswerWizardFiles,Item,Item,String,R_O
AnswerWizardFiles,Count,Count,Long,R_O
Assistant,Application,Application,Object,R_O
Assistant,Creator,Creator,Long,R_O
Assistant,Parent,Parent,Object,R_O
Assistant,Top,Top,Long,V
Assistant,Left,Left,Long,V
Assistant,NewBalloon,New Balloon,Balloon,R_O
Assistant,BalloonError,Balloon Error,MsoBalloonErrorType,R_O
Assistant,Visible,Visible,Boolean,V
Assistant,Animation,Animation,MsoAnimationType,V
Assistant,Reduced,Reduced,Boolean,V
Assistant,AssistWithHelp,Assist With Help,Boolean,V
Assistant,AssistWithWizards,Assist With Wizards,Boolean,V
Assistant,AssistWithAlerts,Assist With Alerts,Boolean,V
Assistant,MoveWhenInTheWay,Move When In The Way,Boolean,V
Assistant,Sounds,Sounds,Boolean,V
Assistant,FeatureTips,Feature Tips,Boolean,V
Assistant,MouseTips,Mouse Tips,Boolean,V
Assistant,KeyboardShortcutTips,Keyboard Shortcut Tips,Boolean,V
Assistant,HighPriorityTips,High Priority Tips,Boolean,V
Assistant,TipOfDay,Tip Of Day,Boolean,V
Assistant,GuessHelp,Guess Help,Boolean,V
Assistant,SearchWhenProgramming,Search When Programming,Boolean,V
Assistant,Item,Item,String,R_O
Assistant,FileName,File Name,String,V
Assistant,Name,Name,String,R_O
Assistant,On,On,Boolean,V
Axes,Count,Count,Long,R_O
Axes,Item,Item,IMsoAxis,R_O
Axes,_NewEnum,_New Enum,IUnknown,R_O
Axes,Application,Application,Object,R_O
Axes,Creator,Creator,Long,R_O
Axes,_Default,_Default,IMsoAxis,R_O
Axes,Parent,Parent,Object,R_O
Balloon,Application,Application,Object,R_O
Balloon,Creator,Creator,Long,R_O
Balloon,Parent,Parent,Object,R_O
Balloon,Checkboxes,Checkboxes,Object,R_O
Balloon,Labels,Labels,Object,R_O
Balloon,BalloonType,Balloon Type,MsoBalloonType,V
Balloon,Icon,Icon,MsoIconType,V
Balloon,Heading,Heading,String,V
Balloon,Text,Text,String,V
Balloon,Mode,Mode,MsoModeType,V
Balloon,Animation,Animation,MsoAnimationType,V
Balloon,Button,Button,MsoButtonSetType,V
Balloon,Callback,Callback,String,V
Balloon,Private,Private,Long,V
Balloon,Name,Name,String,R_O
BalloonCheckbox,Application,Application,Object,R_O
BalloonCheckbox,Creator,Creator,Long,R_O
BalloonCheckbox,Item,Item,String,R_O
BalloonCheckbox,Name,Name,String,R_O
BalloonCheckbox,Parent,Parent,Object,R_O
BalloonCheckbox,Checked,Checked,Boolean,V
BalloonCheckbox,Text,Text,String,V
BalloonCheckboxes,Application,Application,Object,R_O
BalloonCheckboxes,Creator,Creator,Long,R_O
BalloonCheckboxes,Name,Name,String,R_O
BalloonCheckboxes,Parent,Parent,Object,R_O
BalloonCheckboxes,Item,Item,Object,R_O
BalloonCheckboxes,Count,Count,Long,V
BalloonCheckboxes,_NewEnum,_New Enum,IUnknown,R_O
BalloonLabel,Application,Application,Object,R_O
BalloonLabel,Creator,Creator,Long,R_O
BalloonLabel,Item,Item,String,R_O
BalloonLabel,Name,Name,String,R_O
BalloonLabel,Parent,Parent,Object,R_O
BalloonLabel,Text,Text,String,V
BalloonLabels,Application,Application,Object,R_O
BalloonLabels,Creator,Creator,Long,R_O
BalloonLabels,Name,Name,String,R_O
BalloonLabels,Parent,Parent,Object,R_O
BalloonLabels,Item,Item,Object,R_O
BalloonLabels,Count,Count,Long,V
BalloonLabels,_NewEnum,_New Enum,IUnknown,R_O
BulletFormat2,Application,Application,Object,R_O
BulletFormat2,Creator,Creator,Long,R_O
BulletFormat2,Parent,Parent,Object,R_O
BulletFormat2,Character,Character,Long,V
BulletFormat2,Font,Font,Font2,R_O
BulletFormat2,Number,Number,Long,R_O
BulletFormat2,RelativeSize,Relative Size,Single,V
BulletFormat2,StartValue,Start Value,Long,V
BulletFormat2,Style,Style,MsoNumberedBulletStyle,V
BulletFormat2,Type,Type,MsoBulletType,V
BulletFormat2,UseTextColor,Use Text Color,MsoTriState,V
BulletFormat2,UseTextFont,Use Text Font,MsoTriState,V
BulletFormat2,Visible,Visible,MsoTriState,V
CalloutFormat,Application,Application,Object,R_O
CalloutFormat,Creator,Creator,Long,R_O
CalloutFormat,Parent,Parent,Object,R_O
CalloutFormat,Accent,Accent,MsoTriState,V
CalloutFormat,Angle,Angle,MsoCalloutAngleType,V
CalloutFormat,AutoAttach,Auto Attach,MsoTriState,V
CalloutFormat,AutoLength,Auto Length,MsoTriState,R_O
CalloutFormat,Border,Border,MsoTriState,V
CalloutFormat,Drop,Drop,Single,R_O
CalloutFormat,DropType,Drop Type,MsoCalloutDropType,R_O
CalloutFormat,Gap,Gap,Single,V
CalloutFormat,Length,Length,Single,R_O
CalloutFormat,Type,Type,MsoCalloutType,V
CanvasShapes,Application,Application,Object,R_O
CanvasShapes,Creator,Creator,Long,R_O
CanvasShapes,Parent,Parent,Object,R_O
CanvasShapes,Count,Count,Long,R_O
CanvasShapes,_NewEnum,_New Enum,IUnknown,R_O
CanvasShapes,Background,Background,Shape,R_O
CategoryCollection,Parent,Parent,HRESULT,R_O
CategoryCollection,Count,Count,HRESULT,R_O
CategoryCollection,Application,Application,HRESULT,R_O
CategoryCollection,Creator,Creator,HRESULT,R_O
CategoryCollection,_Default,_Default,HRESULT,R_O
ChartColorFormat,Parent,Parent,HRESULT,R_O
ChartColorFormat,SchemeColor,Scheme Color,HRESULT,V
ChartColorFormat,RGB,RGB,HRESULT,V
ChartColorFormat,_Default,_Default,HRESULT,R_O
ChartColorFormat,Type,Type,HRESULT,R_O
ChartColorFormat,Application,Application,HRESULT,R_O
ChartColorFormat,Creator,Creator,HRESULT,R_O
ChartFillFormat,BackColor,Back Color,ChartColorFormat,R_O
ChartFillFormat,ForeColor,Fore Color,ChartColorFormat,R_O
ChartFillFormat,GradientColorType,Gradient Color Type,Long,R_O
ChartFillFormat,GradientDegree,Gradient Degree,Single,R_O
ChartFillFormat,GradientStyle,Gradient Style,Long,R_O
ChartFillFormat,GradientVariant,Gradient Variant,Long,R_O
ChartFillFormat,Pattern,Pattern,Long,R_O
ChartFillFormat,PresetGradientType,Preset Gradient Type,Long,R_O
ChartFillFormat,PresetTexture,Preset Texture,Long,R_O
ChartFillFormat,TextureName,Texture Name,String,R_O
ChartFillFormat,TextureType,Texture Type,Long,R_O
ChartFillFormat,Type,Type,Long,R_O
ChartFillFormat,Visible,Visible,Long,V
ChartFillFormat,Application,Application,Object,R_O
ChartFillFormat,Creator,Creator,Long,R_O
ChartFillFormat,Parent,Parent,Object,R_O
ChartFont,Background,Background,Variant,V
ChartFont,Bold,Bold,Variant,V
ChartFont,Color,Color,Variant,V
ChartFont,ColorIndex,Color Index,Variant,V
ChartFont,FontStyle,Font Style,Variant,V
ChartFont,Italic,Italic,Variant,V
ChartFont,Name,Name,Variant,V
ChartFont,OutlineFont,Outline Font,Variant,V
ChartFont,Shadow,Shadow,Variant,V
ChartFont,Size,Size,Variant,V
ChartFont,StrikeThrough,Strike Through,Variant,V
ChartFont,Subscript,Subscript,Variant,V
ChartFont,Superscript,Superscript,Variant,V
ChartFont,Underline,Underline,Variant,V
ChartFont,Application,Application,Object,R_O
ChartFont,Creator,Creator,Long,R_O
ChartFont,Parent,Parent,Object,R_O
ChartGroups,Parent,Parent,Object,R_O
ChartGroups,Count,Count,Long,R_O
ChartGroups,Application,Application,Object,R_O
ChartGroups,Creator,Creator,Long,R_O
ChartPoint,Parent,Parent,HRESULT,R_O
ChartPoint,Border,Border,HRESULT,R_O
ChartPoint,DataLabel,Data Label,HRESULT,R_O
ChartPoint,Explosion,Explosion,HRESULT,V
ChartPoint,HasDataLabel,Has Data Label,HRESULT,V
ChartPoint,Interior,Interior,HRESULT,R_O
ChartPoint,InvertIfNegative,Invert If Negative,HRESULT,V
ChartPoint,MarkerBackgroundColor,Marker Background Color,HRESULT,V
ChartPoint,MarkerBackgroundColorIndex,Marker Background Color Index,HRESULT,V
ChartPoint,MarkerForegroundColor,Marker Foreground Color,HRESULT,V
ChartPoint,MarkerForegroundColorIndex,Marker Foreground Color Index,HRESULT,V
ChartPoint,MarkerSize,Marker Size,HRESULT,V
ChartPoint,MarkerStyle,Marker Style,HRESULT,V
ChartPoint,PictureType,Picture Type,HRESULT,V
ChartPoint,PictureUnit,Picture Unit,HRESULT,V
ChartPoint,ApplyPictToSides,Apply Pict To Sides,HRESULT,V
ChartPoint,ApplyPictToFront,Apply Pict To Front,HRESULT,V
ChartPoint,ApplyPictToEnd,Apply Pict To End,HRESULT,V
ChartPoint,Shadow,Shadow,HRESULT,V
ChartPoint,SecondaryPlot,Secondary Plot,HRESULT,V
ChartPoint,Fill,Fill,HRESULT,R_O
ChartPoint,Has3DEffect,Has3 D Effect,HRESULT,V
ChartPoint,Format,Format,HRESULT,R_O
ChartPoint,Application,Application,HRESULT,R_O
ChartPoint,Creator,Creator,HRESULT,R_O
ChartPoint,PictureUnit2,Picture Unit2,HRESULT,V
ChartPoint,Name,Name,HRESULT,R_O
ChartPoint,Height,Height,HRESULT,R_O
ChartPoint,Width,Width,HRESULT,R_O
ChartPoint,Left,Left,HRESULT,R_O
ChartPoint,Top,Top,HRESULT,R_O
ChartPoint,IsTotal,Is Total,HRESULT,V
ColorFormat,Application,Application,Object,R_O
ColorFormat,Creator,Creator,Long,R_O
