Owner,Kind,Constant,Value,Description
WdAlertLevel,Enumeration,wdAlertsNone,0,"No alerts or message boxes are displayed. If a macro encounters a message box, the default value is chosen and the macro continues."
WdAlertLevel,Enumeration,wdAlertsMessageBox,-2,Only message boxes are displayed; errors are trapped and returned to the macro.
WdAlertLevel,Enumeration,wdAlertsAll,-1,All message boxes and alerts are displayed; errors are returned to the macro.
WdAlignmentTabAlignment,Enumeration,wdLeft,0,Left-aligned tab.
WdAlignmentTabAlignment,Enumeration,wdCenter,1,Centered tab.
WdAlignmentTabAlignment,Enumeration,wdRight,2,Right-aligned tab.
WdAlignmentTabRelative,Enumeration,wdMargin,0,Word calculates tab alignment relative to the margins
WdAlignmentTabRelative,Enumeration,wdIndent,1,Word calculates tab alignment relative to the paragraph indents.
WdAnimation,Enumeration,wdAnimationNone,0,
WdAnimation,Enumeration,wdAnimationLasVegasLights,1,
WdAnimation,Enumeration,wdAnimationBlinkingBackground,2,
WdAnimation,Enumeration,wdAnimationSparkleText,3,
WdAnimation,Enumeration,wdAnimationMarchingBlackAnts,4,
WdAnimation,Enumeration,wdAnimationMarchingRedAnts,5,
WdAnimation,Enumeration,wdAnimationShimmer,6,
WdApplyQuickStyleSets,Enumeration,wdSessionStartSet,1,Resets the Quick Style to the style set in use when the document was opened.
WdApplyQuickStyleSets,Enumeration,wdTemplateSet,2,"Resets the Quick Style to the style set from the template, if any."
WdArabicNumeral,Enumeration,wdNumeralArabic,0,Arabic shape is used for numerals.
WdArabicNumeral,Enumeration,wdNumeralHindi,1,Hindi shape is used for numerals.
WdArabicNumeral,Enumeration,wdNumeralContext,2,Numeral shape depends on text surrounding it.
WdArabicNumeral,Enumeration,wdNumeralSystem,3,Numeral shape is determined by system settings.
WdAraSpeller,Enumeration,wdNone,0,The spelling checker ignores spelling rules regarding either Arabic words ending with the letter yaa or Arabic words beginning with an alef hamza.
WdAraSpeller,Enumeration,wdInitialAlef,1,The spelling checker uses spelling rules regarding Arabic words beginning with an alef hamza.
WdAraSpeller,Enumeration,wdFinalYaa,2,The spelling checker uses spelling rules regarding Arabic words ending with the letter yaa.
WdAraSpeller,Enumeration,wdBoth,3,The spelling checker uses spelling rules regarding both Arabic words ending with the letter yaa and Arabic words beginning with an alef hamza.
WdArrangeStyle,Enumeration,wdTiled,0,Windows are tiled into a single window.
WdArrangeStyle,Enumeration,wdIcons,1,Windows are displayed as icons in a single window.
WdAutoFitBehavior,Enumeration,wdAutoFitFixed,0,"The table is set to a fixed size, regardless of the content, and is not automatically sized."
WdAutoFitBehavior,Enumeration,wdAutoFitContent,1,The table is automatically sized to fit the content contained in the table.
WdAutoFitBehavior,Enumeration,wdAutoFitWindow,2,The table is automatically sized to the width of the active window.
WdAutoMacros,Enumeration,wdAutoExec,0,AutoExec macro.
WdAutoMacros,Enumeration,wdAutoNew,1,AutoNew macro.
WdAutoMacros,Enumeration,wdAutoOpen,2,AutoOpen macro.
WdAutoMacros,Enumeration,wdAutoClose,3,AutoClose macro.
WdAutoMacros,Enumeration,wdAutoExit,4,AutoExit macro.
WdAutoMacros,Enumeration,wdAutoSync,5,AutoSync macro.
WdAutoVersions,Enumeration,wdAutoVersionOff,0,No document version is saved.
WdAutoVersions,Enumeration,wdAutoVersionOnClose,1,A document version is saved automatically when the document is closed.
WdBaselineAlignment,Enumeration,wdBaselineAlignTop,0,Align along top of each font.
WdBaselineAlignment,Enumeration,wdBaselineAlignCenter,1,Align center points of each font.
WdBaselineAlignment,Enumeration,wdBaselineAlignBaseline,2,Align to a baseline for the paragraph.
WdBaselineAlignment,Enumeration,wdBaselineAlignFarEast50,3,Align using the baseline for Asian language font standards.
WdBaselineAlignment,Enumeration,wdBaselineAlignAuto,4,Microsoft Word automatically adjusts the baseline font alignment.
WdBookmarkSortBy,Enumeration,wdSortByName,0,Sorted by bookmark name.
WdBookmarkSortBy,Enumeration,wdSortByLocation,1,Sorted by location in document.
WdBorderDistanceFrom,Enumeration,wdBorderDistanceFromText,0,From the text it surrounds.
WdBorderDistanceFrom,Enumeration,wdBorderDistanceFromPageEdge,1,From the edge of the page.
WdBorderType,Enumeration,wdBorderTop,-1,A top border.
WdBorderType,Enumeration,wdBorderLeft,-2,A left border.
WdBorderType,Enumeration,wdBorderBottom,-3,A bottom border.
WdBorderType,Enumeration,wdBorderRight,-4,A right border.
WdBorderType,Enumeration,wdBorderHorizontal,-5,Horizontal borders.
WdBorderType,Enumeration,wdBorderVertical,-6,Vertical borders.
WdBorderType,Enumeration,wdBorderDiagonalDown,-7,A diagonal border starting in the upper-left corner.
WdBorderType,Enumeration,wdBorderDiagonalUp,-8,A diagonal border starting in the lower-left corner.
WdBorderTypeHID,Enumeration,emptyenum,0,
WdBreakType,Enumeration,wdSectionBreakNextPage,2,Section break on next page.
WdBreakType,Enumeration,wdSectionBreakContinuous,3,New section without a corresponding page break.
WdBreakType,Enumeration,wdSectionBreakEvenPage,4,"Section break with the next section beginning on the next even-numbered page. If the section break falls on an even-numbered page, Word leaves the next odd-numbered page blank."
WdBreakType,Enumeration,wdSectionBreakOddPage,5,"Section break with the next section beginning on the next odd-numbered page. If the section break falls on an odd-numbered page, Word leaves the next even-numbered page blank."
WdBreakType,Enumeration,wdLineBreak,6,Line break.
WdBreakType,Enumeration,wdPageBreak,7,Page break at the insertion point.
WdBreakType,Enumeration,wdColumnBreak,8,Column break at the insertion point.
WdBreakType,Enumeration,wdLineBreakClearLeft,9,Line break.
WdBreakType,Enumeration,wdLineBreakClearRight,10,Line break.
WdBreakType,Enumeration,wdTextWrappingBreak,11,"Ends the current line and forces the text to continue below a picture, table, or other item. The text continues on the next blank line that does not contain a table aligned with the left or right margin."
WdBrowserLevel,Enumeration,wdBrowserLevelV4,0,Microsoft Internet Explorer 4.
WdBrowserLevel,Enumeration,wdBrowserLevelMicrosoftInternetExplorer5,1,Microsoft Internet Explorer 5.
WdBrowserLevel,Enumeration,wdBrowserLevelMicrosoftInternetExplorer6,2,Microsoft Internet Explorer 6.
WdBrowseTarget,Enumeration,wdBrowsePage,1,Places insertion point before next or previous page.
WdBrowseTarget,Enumeration,wdBrowseSection,2,Places insertion point before next or previous section.
WdBrowseTarget,Enumeration,wdBrowseComment,3,Places insertion point before next or previous comment.
