Object,Property,Property split,Type,Access
AddIn,Application,Application,Application,R_O
AddIn,Creator,Creator,Long,R_O
AddIn,Parent,Parent,Object,R_O
AddIn,Name,Name,String,R_O
AddIn,Index,Index,Long,R_O
AddIn,Path,Path,String,R_O
AddIn,Installed,Installed,Boolean,V
AddIn,Compiled,Compiled,Boolean,R_O
AddIn,Autoload,Autoload,Boolean,R_O
AddIns,Application,Application,Application,R_O
AddIns,Creator,Creator,Long,R_O
AddIns,Parent,Parent,Object,R_O
AddIns,_NewEnum,_New Enum,IUnknown,R_O
AddIns,Count,Count,Long,R_O
Adjustments,Application,Application,Application,R_O
Adjustments,Creator,Creator,Long,R_O
Adjustments,Parent,Parent,Object,R_O
Adjustments,Count,Count,Long,R_O
Adjustments,Item,Item,Single,V
Application,Application,Application,Application,R_O
Application,Creator,Creator,Long,R_O
Application,Parent,Parent,Object,R_O
Application,Name,Name,String,R_O
Application,Documents,Documents,Documents,R_O
Application,Windows,Windows,Windows,R_O
Application,ActiveDocument,Active Document,Document,R_O
Application,ActiveWindow,Active Window,Window,R_O
Application,Selection,Selection,Selection,R_O
Application,WordBasic,Word Basic,Object,R_O
Application,RecentFiles,Recent Files,RecentFiles,R_O
Application,NormalTemplate,Normal Template,Template,R_O
Application,System,System,System,R_O
Application,AutoCorrect,Auto Correct,AutoCorrect,R_O
Application,FontNames,Font Names,FontNames,R_O
Application,LandscapeFontNames,Landscape Font Names,FontNames,R_O
Application,PortraitFontNames,Portrait Font Names,FontNames,R_O
Application,Languages,Languages,Languages,R_O
Application,Browser,Browser,Browser,R_O
Application,FileConverters,File Converters,FileConverters,R_O
Application,MailingLabel,Mailing Label,MailingLabel,R_O
Application,Dialogs,Dialogs,Dialogs,R_O
Application,CaptionLabels,Caption Labels,CaptionLabels,R_O
Application,AutoCaptions,Auto Captions,AutoCaptions,R_O
Application,AddIns,Add Ins,AddIns,R_O
Application,Visible,Visible,Boolean,V
Application,Version,Version,String,R_O
Application,ScreenUpdating,Screen Updating,Boolean,V
Application,PrintPreview,Print Preview,Boolean,V
Application,Tasks,Tasks,Tasks,R_O
Application,SpecialMode,Special Mode,Boolean,R_O
Application,UsableWidth,Usable Width,Long,R_O
Application,UsableHeight,Usable Height,Long,R_O
Application,MathCoprocessorAvailable,Math Coprocessor Available,Boolean,R_O
Application,MouseAvailable,Mouse Available,Boolean,R_O
Application,International,International,Variant,R_O
Application,Build,Build,String,R_O
Application,CapsLock,Caps Lock,Boolean,R_O
Application,NumLock,Num Lock,Boolean,R_O
Application,UserName,User Name,String,V
Application,UserInitials,User Initials,String,V
Application,UserAddress,User Address,String,V
Application,MacroContainer,Macro Container,Object,R_O
Application,DisplayRecentFiles,Display Recent Files,Boolean,V
Application,CommandBars,Command Bars,CommandBars,R_O
Application,SynonymInfo,Synonym Info,SynonymInfo,R_O
Application,VBE,VBE,VBE,R_O
Application,DefaultSaveFormat,Default Save Format,String,V
Application,ListGalleries,List Galleries,ListGalleries,R_O
Application,ActivePrinter,Active Printer,String,V
Application,Templates,Templates,Templates,R_O
Application,CustomizationContext,Customization Context,Object,V
Application,KeyBindings,Key Bindings,KeyBindings,R_O
Application,KeysBoundTo,Keys Bound To,KeysBoundTo,R_O
Application,FindKey,Find Key,KeyBinding,R_O
Application,Caption,Caption,String,V
Application,Path,Path,String,R_O
Application,DisplayScrollBars,Display Scroll Bars,Boolean,V
Application,StartupPath,Startup Path,String,V
Application,BackgroundSavingStatus,Background Saving Status,Long,R_O
